GeneSymbol	GeneID	MediaTumor	MedianNormal	Log2FoldChange	adjp
P2RX6	ENSG00000099957.16	0.730	4.223	-1.594	1.76e-15
SUSD2	ENSG00000099994.10	0.820	5.475	-1.831	2.68e-17
SF3A1	ENSG00000099995.18	16.620	39.235	-1.191	7.49e-20
GGT5	ENSG00000099998.17	11.090	42.765	-1.856	4.39e-17
MAPK1	ENSG00000100030.14	10.130	26.860	-1.324	1.27e-20
TOP3B	ENSG00000100038.19	4.580	12.625	-1.288	2.14e-31
GGA1	ENSG00000100083.18	21.299	49.569	-1.181	2.30e-25
SH3BP1	ENSG00000100092.20	1.400	4.365	-1.161	6.44e-21
PIK3IP1	ENSG00000100100.12	14.710	35.515	-1.217	7.09e-5
TTC28	ENSG00000100154.14	1.890	4.795	-1.004	1.86e-28
TIMP3	ENSG00000100234.11	49.579	135.734	-1.435	5.87e-10
RHBDD3	ENSG00000100263.13	14.040	32.080	-1.137	5.45e-23
RASL10A	ENSG00000100276.9	0.320	1.665	-1.014	8.78e-27
NEFH	ENSG00000100285.9	4.450	19.639	-1.921	1.06e-21
MTMR3	ENSG00000100330.15	5.520	21.845	-1.809	3.19e-43
SGSM3	ENSG00000100359.20	24.120	58.901	-1.254	1.05e-24
PVALB	ENSG00000100362.12	2.900	0.405	1.473	6.86e-22
KIAA0930	ENSG00000100364.18	24.690	58.624	-1.215	2.84e-21
NCF4	ENSG00000100365.14	1.980	8.745	-1.709	1.96e-22
FAM118A	ENSG00000100376.11	3.480	8.479	-1.081	3.35e-13
EP300	ENSG00000100393.9	4.540	11.830	-1.212	4.28e-24
ZC3H7B	ENSG00000100403.11	13.610	34.335	-1.274	1.48e-20
HDAC10	ENSG00000100429.17	9.490	29.960	-1.561	1.92e-28
PYGL	ENSG00000100504.16	4.810	22.670	-2.027	2.34e-29
PLEK2	ENSG00000100558.8	8.620	29.732	-1.676	1.04e-11
SRSF5	ENSG00000100650.15	135.993	314.943	-1.206	2.37e-18
PAPLN	ENSG00000100767.15	0.330	5.719	-2.337	5.17e-37
REC8	ENSG00000100918.12	3.020	12.920	-1.792	3.66e-25
PNN	ENSG00000100941.8	17.220	40.126	-1.175	1.59e-27
PLTP	ENSG00000100979.14	20.300	149.981	-2.825	5.18e-20
PROCR	ENSG00000101000.4	7.040	16.510	-1.123	3.05e-12
NINL	ENSG00000101004.14	5.090	12.605	-1.160	5.57e-26
PABPC1L	ENSG00000101104.12	3.880	19.505	-2.071	2.71e-30
SLC17A9	ENSG00000101194.17	0.420	4.425	-1.934	8.65e-41
NKAIN4	ENSG00000101198.14	1.400	0.080	1.152	1.92e-17
RASSF2	ENSG00000101265.15	1.140	5.690	-1.644	1.48e-36
FERMT1	ENSG00000101311.15	3.200	15.520	-1.976	1.28e-25
HCK	ENSG00000101336.12	1.930	6.830	-1.418	5.53e-17
FAM83D	ENSG00000101447.13	2.300	0.330	1.311	2.98e-20
ZNF516	ENSG00000101493.10	2.910	6.840	-1.004	9.47e-29
SMCHD1	ENSG00000101596.14	2.860	7.350	-1.113	1.68e-29
MXRA5	ENSG00000101825.7	1.830	6.075	-1.322	4.20e-3
PRPS2	ENSG00000101911.12	11.430	24.853	-1.056	9.91e-5
SRPX	ENSG00000101955.14	12.070	34.362	-1.436	2.55e-12
MCF2	ENSG00000101977.19	1.120	15.659	-2.974	2.23e-14
SYP	ENSG00000102003.10	44.120	7.525	2.404	2.53e-12
RENBP	ENSG00000102032.12	8.190	18.774	-1.106	9.76e-4
SMS	ENSG00000102172.15	147.155	72.148	1.018	5.83e-13
KLHL4	ENSG00000102271.13	1.610	23.005	-3.201	2.95e-25
GABRE	ENSG00000102287.16	0.870	6.930	-2.084	1.63e-22
MAGED2	ENSG00000102316.16	243.469	94.999	1.349	1.88e-20
KLF8	ENSG00000102349.14	0.290	2.255	-1.335	5.35e-51
SRPX2	ENSG00000102359.5	0.450	6.510	-2.373	2.22e-45
SYTL4	ENSG00000102362.15	0.980	5.155	-1.636	1.11e-35
KLF5	ENSG00000102554.13	0.290	1.975	-1.206	7.43e-24
PARP4	ENSG00000102699.5	10.390	22.255	-1.030	5.33e-12
VWA8	ENSG00000102763.15	2.800	7.745	-1.202	8.70e-23
MEDAG	ENSG00000102802.9	0.380	1.960	-1.101	3.65e-15
HSF4	ENSG00000102878.15	21.600	60.419	-1.442	5.03e-21
NFAT5	ENSG00000102908.20	2.670	8.935	-1.437	2.58e-25
PLLP	ENSG00000102934.9	4.980	1.775	1.108	1.86e-19
MMP15	ENSG00000102996.4	7.420	3.180	1.010	3.18e-17
NDRG4	ENSG00000103034.14	64.021	166.202	-1.363	4.72e-8
SETD6	ENSG00000103037.11	8.470	18.250	-1.023	1.33e-23
SLC7A6	ENSG00000103064.13	5.090	14.495	-1.347	4.07e-28
WDR59	ENSG00000103091.14	16.440	37.655	-1.148	1.24e-25
TAF1C	ENSG00000103168.16	17.881	37.770	-1.038	2.77e-22
WFDC1	ENSG00000103175.10	2.030	17.955	-2.645	1.32e-45
RHBDL1	ENSG00000103269.13	1.400	4.605	-1.224	1.67e-16
TCEB2	ENSG00000103363.14	522.830	231.263	1.173	1.49e-26
NOMO1	ENSG00000103512.14	51.631	24.410	1.051	1.01e-19
MYEF2	ENSG00000104177.17	10.430	25.736	-1.226	4.20e-21
ZDHHC2	ENSG00000104219.12	2.910	8.135	-1.224	3.26e-13
IKBKB	ENSG00000104365.13	12.480	34.860	-1.412	3.67e-28
PLAT	ENSG00000104368.17	4.280	29.850	-2.547	1.08e-25
WISP1	ENSG00000104415.13	0.730	6.715	-2.157	1.38e-29
NDRG1	ENSG00000104419.14	34.570	84.527	-1.266	1.05e-8
GSDMD	ENSG00000104518.10	19.430	51.175	-1.353	1.84e-13
SQLE	ENSG00000104549.11	72.378	13.745	2.315	5.58e-13
SH2D4A	ENSG00000104611.11	2.620	7.860	-1.291	2.71e-13
SNRNP70	ENSG00000104852.14	111.453	244.848	-1.128	1.03e-20
FCGRT	ENSG00000104870.12	37.930	100.450	-1.382	2.44e-15
RNASEH2A	ENSG00000104889.4	26.521	6.045	1.966	3.19e-43
LILRB1	ENSG00000104972.14	0.660	3.425	-1.414	1.02e-26
OLFM2	ENSG00000105088.8	69.458	28.749	1.244	1.02e-4
RASAL3	ENSG00000105122.12	1.010	3.114	-1.033	5.78e-22
SYDE1	ENSG00000105137.12	4.130	9.830	-1.078	1.62e-15
NUMBL	ENSG00000105245.9	6.040	13.740	-1.066	5.62e-19
SLC1A5	ENSG00000105281.12	5.080	11.895	-1.085	8.03e-6
TGFB1	ENSG00000105329.9	11.640	25.864	-1.088	2.61e-10
MYH14	ENSG00000105357.15	3.000	0.830	1.128	4.28e-12
LIG1	ENSG00000105486.13	21.421	9.375	1.112	2.06e-22
PLEKHA4	ENSG00000105559.11	7.150	17.205	-1.160	7.16e-16
RAB3A	ENSG00000105649.9	19.390	6.245	1.493	5.09e-15
TMEM59L	ENSG00000105696.8	0.400	2.764	-1.427	2.37e-13
SCN1B	ENSG00000105711.10	2.700	11.925	-1.805	7.75e-19
RASA4	ENSG00000105808.17	10.650	24.569	-1.134	2.35e-16
TFEC	ENSG00000105967.15	0.270	1.555	-1.008	6.16e-28
HOXA5	ENSG00000106004.4	11.140	28.000	-1.256	3.88e-15
HOXA6	ENSG00000106006.6	1.170	3.725	-1.123	3.73e-19
HOXA13	ENSG00000106031.7	3.060	0.130	1.845	3.26e-33
NPTX2	ENSG00000106236.3	450.879	24.130	4.168	6.94e-31
NUDT1	ENSG00000106268.15	21.630	7.155	1.472	4.38e-37
PLOD3	ENSG00000106397.11	64.480	26.210	1.267	9.07e-25
ZNHIT1	ENSG00000106400.11	108.631	46.946	1.193	2.91e-30
SFRP4	ENSG00000106483.11	0.480	4.240	-1.824	2.26e-19
MEST	ENSG00000106484.14	12.270	43.389	-1.742	1.11e-17
RARRES2	ENSG00000106538.9	541.080	1789.696	-1.724	4.16e-15
OGN	ENSG00000106809.10	0.030	5.139	-2.575	4.71e-42
PTGR1	ENSG00000106853.16	39.849	94.920	-1.232	1.85e-11
SUSD1	ENSG00000106868.16	2.640	6.860	-1.111	3.82e-24
MPDZ	ENSG00000107186.16	4.750	10.680	-1.022	4.62e-23
PTGDS	ENSG00000107317.11	1.370	183.864	-6.285	2.00e-41
SHB	ENSG00000107338.9	1.520	5.010	-1.254	1.52e-9
GATA3	ENSG00000107485.15	0.600	2.575	-1.160	1.50e-6
RASSF4	ENSG00000107551.20	3.270	12.170	-1.625	3.24e-25
SPOCK2	ENSG00000107742.12	8.020	17.644	-1.047	2.01e-8
SH3PXD2A	ENSG00000107957.16	1.550	6.050	-1.467	1.44e-32
MAP3K8	ENSG00000107968.9	1.530	11.895	-2.350	1.34e-37
UBE2S	ENSG00000108106.13	50.569	12.145	1.972	4.92e-29
PBLD	ENSG00000108187.15	3.810	8.925	-1.045	1.15e-8
RAPGEFL1	ENSG00000108352.11	1.050	3.800	-1.227	2.02e-25
SEP4	ENSG00000108387.14	17.960	108.266	-2.527	3.06e-20
TRIM16L	ENSG00000108448.20	5.010	12.625	-1.181	1.05e-15
PIGL	ENSG00000108474.16	7.580	19.755	-1.274	7.91e-29
RASD1	ENSG00000108551.4	6.130	13.374	-1.012	3.21e-5
FTSJ3	ENSG00000108592.16	11.420	25.906	-1.115	4.45e-18
KAT2A	ENSG00000108773.10	23.940	76.781	-1.641	2.47e-31
EZH1	ENSG00000108799.12	7.820	22.415	-1.409	1.15e-33
PPP1R9B	ENSG00000108819.10	11.580	27.400	-1.175	4.26e-22
RND2	ENSG00000108830.9	0.610	2.235	-1.007	3.63e-22
LUC7L3	ENSG00000108848.15	32.931	96.941	-1.529	4.18e-33
HLF	ENSG00000108924.13	3.480	10.120	-1.312	1.33e-4
FAM20A	ENSG00000108950.11	0.780	4.435	-1.610	1.54e-12
WSB1	ENSG00000109046.14	17.710	60.989	-1.728	4.10e-38
SLC9A3R1	ENSG00000109062.9	26.250	139.637	-2.368	1.27e-29
VTN	ENSG00000109072.13	31.701	90.713	-1.488	2.12e-8
PMP22	ENSG00000109099.13	14.520	33.800	-1.165	2.78e-18
RAB34	ENSG00000109113.17	7.590	90.446	-3.412	2.40e-25
SULT1E1	ENSG00000109193.10	0.140	13.390	-3.658	1.86e-55
MAPK10	ENSG00000109339.18	5.460	14.330	-1.247	3.40e-12
GAB1	ENSG00000109458.8	2.330	6.450	-1.162	2.13e-15
KLHL2	ENSG00000109466.13	5.700	13.045	-1.068	2.59e-19
SOD3	ENSG00000109610.5	3.990	14.357	-1.622	3.46e-21
SH3D19	ENSG00000109686.16	4.240	13.555	-1.474	4.04e-26
NCAPG	ENSG00000109805.9	2.650	0.465	1.317	5.25e-23
ZBTB16	ENSG00000109906.13	4.320	9.695	-1.007	6.99e-9
FNBP4	ENSG00000109920.12	13.590	52.892	-1.885	2.41e-66
VWA5A	ENSG00000110002.15	7.530	23.170	-1.503	1.81e-19
OSBP	ENSG00000110048.11	16.120	40.524	-1.278	4.11e-21
UNC93B1	ENSG00000110057.7	6.870	17.820	-1.258	9.11e-22
MS4A6A	ENSG00000110077.14	10.550	41.568	-1.882	8.13e-15
MS4A4A	ENSG00000110079.16	3.460	17.684	-2.067	7.67e-22
TRIM3	ENSG00000110171.18	4.110	11.060	-1.239	3.73e-40
RNF141	ENSG00000110315.6	9.570	22.610	-1.159	3.14e-20
IL10RA	ENSG00000110324.9	1.390	7.845	-1.888	1.01e-27
GALNT18	ENSG00000110328.5	5.300	2.150	1.000	1.42e-10
PITPNM1	ENSG00000110697.12	6.570	20.816	-1.527	1.46e-21
TCIRG1	ENSG00000110719.9	41.740	192.484	-2.179	2.00e-27
VWF	ENSG00000110799.13	39.500	6.325	2.467	4.73e-32
P3H3	ENSG00000110811.19	4.190	10.485	-1.146	6.87e-3
MVK	ENSG00000110921.11	53.690	17.650	1.552	1.31e-10
PTGES3	ENSG00000110958.15	191.406	94.297	1.014	3.42e-9
TNS2	ENSG00000111077.17	65.598	146.077	-1.143	2.62e-17
MAGOHB	ENSG00000111196.9	26.990	10.565	1.275	9.61e-30
FOXM1	ENSG00000111206.12	7.180	1.460	1.733	1.12e-20
MYL2	ENSG00000111245.14	0.040	1.445	-1.233	5.73e-18
SCNN1A	ENSG00000111319.12	0.430	11.005	-3.070	2.52e-42
MGP	ENSG00000111341.9	259.825	1102.986	-2.082	4.34e-18
MRPL51	ENSG00000111639.7	218.698	104.477	1.059	1.59e-19
GAPDH	ENSG00000111640.14	4451.882	1499.690	1.569	1.23e-20
GNB3	ENSG00000111664.10	0.220	2.365	-1.464	4.11e-16
LPCAT3	ENSG00000111684.10	23.960	50.485	-1.045	8.98e-14
ST8SIA1	ENSG00000111728.10	0.910	5.530	-1.773	1.96e-26
PHC1	ENSG00000111752.10	6.440	19.215	-1.442	2.43e-28
MAN1A1	ENSG00000111885.6	7.700	23.960	-1.521	9.86e-14
TPD52L1	ENSG00000111907.20	104.850	300.713	-1.511	1.18e-13
SOD2	ENSG00000112096.16	78.661	227.488	-1.520	1.85e-14
FBXO9	ENSG00000112146.16	19.760	157.422	-2.932	2.30e-48
ZNF451	ENSG00000112200.16	6.520	16.530	-1.221	4.47e-32
FHL5	ENSG00000112214.10	0.450	2.605	-1.314	2.84e-27
GMNN	ENSG00000112312.9	17.160	6.465	1.283	2.61e-20
MDFI	ENSG00000112559.13	0.590	3.600	-1.533	2.88e-24
SMOC2	ENSG00000112562.18	1.600	5.135	-1.238	5.98e-21
PRPF4B	ENSG00000112739.16	10.500	26.034	-1.233	9.53e-29
SLC29A1	ENSG00000112759.16	44.739	107.135	-1.241	3.70e-11
HMGCS1	ENSG00000112972.14	85.977	24.995	1.742	1.63e-5
KIF20A	ENSG00000112984.11	2.810	0.650	1.207	9.44e-16
TMCO6	ENSG00000113119.12	7.060	20.140	-1.391	5.90e-25
SPARC	ENSG00000113140.10	2096.256	692.777	1.596	4.04e-14
HMGCR	ENSG00000113161.15	85.840	33.395	1.336	5.29e-5
PCDHB5	ENSG00000113209.8	5.670	1.385	1.484	3.82e-21
PDE8B	ENSG00000113231.13	6.320	1.330	1.652	9.63e-21
THBS4	ENSG00000113296.14	5.370	1.320	1.457	1.71e-21
LMNB1	ENSG00000113368.11	4.690	1.775	1.036	1.20e-15
SLC27A6	ENSG00000113396.12	0.500	8.210	-2.618	1.68e-14
TARS	ENSG00000113407.13	74.238	35.615	1.039	4.83e-11
LIFR	ENSG00000113594.9	1.960	7.615	-1.541	7.41e-16
PDGFRB	ENSG00000113721.13	8.280	21.290	-1.264	7.84e-13
NPHP3	ENSG00000113971.18	4.250	14.800	-1.590	1.93e-44
OGG1	ENSG00000114026.21	7.790	17.210	-1.051	1.92e-22
PFKFB4	ENSG00000114268.11	5.190	1.690	1.202	2.83e-13
FGF12	ENSG00000114279.13	10.470	36.540	-1.711	3.07e-18
USP9Y	ENSG00000114374.12	0.010	13.416	-3.835	9.65e-8
HYAL1	ENSG00000114378.16	7.230	18.165	-1.219	3.70e-7
PLSCR4	ENSG00000114698.14	9.180	27.374	-1.479	3.38e-17
GORASP1	ENSG00000114745.13	12.750	33.445	-1.325	2.22e-32
VIPR1	ENSG00000114812.12	0.180	2.220	-1.448	1.82e-39
TNNC1	ENSG00000114854.7	0.330	5.438	-2.275	8.77e-34
NKTR	ENSG00000114857.17	8.110	33.481	-1.920	4.38e-48
SLC4A3	ENSG00000114923.16	5.370	15.564	-1.379	4.29e-15
KCNIP3	ENSG00000115041.12	5.960	1.135	1.705	1.26e-27
STEAP3	ENSG00000115107.19	1.470	5.005	-1.282	9.94e-12
TP53I3	ENSG00000115129.13	5.530	22.810	-1.866	1.53e-26
POMC	ENSG00000115138.10	0.850	7.640	-2.223	4.80e-12
TANC1	ENSG00000115183.13	4.020	12.230	-1.398	4.73e-35
SLC30A3	ENSG00000115194.10	0.180	1.885	-1.290	5.63e-5
FNDC4	ENSG00000115226.9	35.429	116.041	-1.684	3.07e-23
PDE1A	ENSG00000115252.18	0.770	2.685	-1.058	4.47e-12
NDUFS7	ENSG00000115286.19	213.308	103.181	1.041	3.71e-23
GRB14	ENSG00000115290.9	3.030	34.970	-3.158	1.13e-27
SPTBN1	ENSG00000115306.15	42.071	111.437	-1.384	5.40e-38
REG1A	ENSG00000115386.5	0.000	3.720	-2.239	6.40e-19
GLS	ENSG00000115419.12	18.810	66.325	-1.765	7.08e-20
IGFBP5	ENSG00000115461.4	13.020	142.759	-3.358	7.06e-46
IL1R1	ENSG00000115594.11	20.050	50.611	-1.294	9.80e-14
IL1RL1	ENSG00000115602.16	0.220	17.474	-3.921	2.96e-51
IL18R1	ENSG00000115604.10	0.280	1.785	-1.122	5.34e-19
RMDN2	ENSG00000115841.19	11.490	35.835	-1.560	6.13e-20
SDC1	ENSG00000115884.10	39.560	12.794	1.556	3.68e-12
SLC1A4	ENSG00000115902.10	11.560	24.739	-1.035	1.74e-10
KYNU	ENSG00000115919.14	0.400	2.955	-1.498	1.99e-18
PLEK	ENSG00000115956.9	0.920	3.710	-1.295	5.69e-14
TIA1	ENSG00000116001.15	16.190	51.460	-1.610	1.97e-30
EPAS1	ENSG00000116016.13	22.270	49.170	-1.108	1.94e-14
PLEKHA3	ENSG00000116095.10	4.300	10.460	-1.113	2.08e-16
S100PBP	ENSG00000116497.17	4.740	13.680	-1.355	1.33e-35
TRIM62	ENSG00000116525.13	1.820	5.330	-1.167	2.39e-34
RHOU	ENSG00000116574.5	16.720	7.485	1.062	4.76e-6
GON4L	ENSG00000116580.18	7.060	16.540	-1.122	7.21e-28
NCF2	ENSG00000116701.14	1.070	4.155	-1.316	8.71e-18
PLA2G4A	ENSG00000116711.9	0.330	5.865	-2.368	7.59e-39
PRDM2	ENSG00000116731.22	5.200	12.775	-1.152	1.05e-34
SRSF11	ENSG00000116754.13	31.659	121.115	-1.903	3.35e-42
OLFML3	ENSG00000116774.11	3.870	13.455	-1.570	3.24e-12
NID1	ENSG00000116962.14	6.010	27.742	-2.036	2.51e-22
ST6GALNAC5	ENSG00000117069.14	0.570	5.020	-1.939	4.41e-24
IGSF21	ENSG00000117154.11	0.630	3.140	-1.345	1.49e-15
GBP3	ENSG00000117226.11	4.860	12.545	-1.209	1.99e-10
KIF17	ENSG00000117245.12	3.470	19.150	-2.172	4.58e-20
ID3	ENSG00000117318.8	28.789	64.021	-1.126	8.04e-9
SLC2A1	ENSG00000117394.19	25.860	11.089	1.152	4.92e-10
PTCH2	ENSG00000117425.13	0.510	2.400	-1.171	6.12e-29
TSPAN1	ENSG00000117472.9	2.360	8.385	-1.482	1.18e-13
F3	ENSG00000117525.13	6.610	18.530	-1.360	1.30e-13
HSD11B1	ENSG00000117594.9	0.330	4.800	-2.125	8.38e-26
IRF6	ENSG00000117595.10	2.160	9.790	-1.772	5.93e-9
RSRP1	ENSG00000117616.17	25.451	70.893	-1.443	1.04e-21
STMN1	ENSG00000117632.20	80.420	20.369	1.930	8.74e-24
MTFR1L	ENSG00000117640.17	63.901	137.691	-1.096	8.36e-19
NEK2	ENSG00000117650.12	2.160	0.380	1.195	3.86e-17
OSBPL9	ENSG00000117859.18	18.420	47.975	-1.334	7.34e-19
KMT2A	ENSG00000118058.20	2.990	7.955	-1.166	3.68e-29
TNNT2	ENSG00000118194.18	0.000	2.310	-1.727	4.37e-34
NRP2	ENSG00000118257.16	6.090	24.525	-1.848	5.15e-22
SGK1	ENSG00000118515.11	31.840	100.813	-1.632	5.87e-18
TCF21	ENSG00000118526.6	0.100	1.870	-1.384	1.08e-36
VAMP8	ENSG00000118640.10	10.670	27.750	-1.301	4.35e-6
PKD2	ENSG00000118762.7	4.850	17.610	-1.670	1.20e-23
RARRES1	ENSG00000118849.9	0.360	13.860	-3.450	1.78e-39
TJP2	ENSG00000119139.16	3.920	13.610	-1.570	1.44e-21
FCF1	ENSG00000119616.11	8.570	18.295	-1.012	2.11e-8
FLVCR2	ENSG00000119686.9	4.180	11.615	-1.284	2.83e-17
TGFB3	ENSG00000119699.7	4.560	15.020	-1.527	3.42e-26
RBM25	ENSG00000119707.13	15.670	34.550	-1.093	2.08e-24
KLHL29	ENSG00000119771.14	1.250	7.775	-1.963	1.27e-48
FKBP1B	ENSG00000119782.13	1.010	4.655	-1.492	1.60e-20
GPAM	ENSG00000119927.13	8.970	37.250	-1.940	2.82e-13
PYROXD2	ENSG00000119943.10	1.380	17.795	-2.981	3.91e-43
KCNIP2	ENSG00000120049.18	0.290	2.965	-1.620	3.72e-45
HOXB8	ENSG00000120068.6	0.890	5.095	-1.689	5.80e-15
HOXB3	ENSG00000120093.11	2.420	10.050	-1.692	8.89e-35
TEK	ENSG00000120156.20	0.660	5.080	-1.873	1.50e-46
SNX19	ENSG00000120451.10	10.570	24.565	-1.144	3.24e-19
KCNJ5	ENSG00000120457.11	0.640	30.619	-4.269	2.80e-30
KIAA1217	ENSG00000120549.15	4.050	14.910	-1.656	2.34e-37
MTRF1	ENSG00000120662.15	4.100	10.030	-1.113	5.58e-26
TGFBI	ENSG00000120708.16	21.410	48.190	-1.134	2.96e-3
TMPO	ENSG00000120802.13	32.880	9.240	1.726	1.45e-30
GLT8D2	ENSG00000120820.12	2.540	6.235	-1.031	4.11e-6
NFYB	ENSG00000120837.7	13.530	40.755	-1.523	1.74e-19
PTK2B	ENSG00000120899.17	4.040	11.805	-1.345	1.58e-27
EPHX2	ENSG00000120915.13	17.130	70.702	-1.984	4.18e-25
TRIM25	ENSG00000121060.14	6.730	23.885	-1.687	5.99e-34
SCPEP1	ENSG00000121064.12	85.159	192.664	-1.168	3.01e-15
MND1	ENSG00000121211.7	7.230	0.395	2.561	6.63e-47
TRIM6	ENSG00000121236.19	1.130	4.160	-1.277	2.78e-18
KCNJ8	ENSG00000121361.3	4.440	13.390	-1.403	3.14e-11
PDZRN3	ENSG00000121440.14	3.260	18.190	-2.171	1.80e-14
PILRB	ENSG00000121716.18	19.450	43.250	-1.114	2.62e-20
FABP3	ENSG00000121769.7	119.064	51.117	1.204	2.00e-5
TNFSF10	ENSG00000121858.10	11.440	38.685	-1.674	3.43e-7
TMEM54	ENSG00000121900.18	5.430	12.770	-1.099	3.38e-9
LRIF1	ENSG00000121931.15	13.440	4.920	1.286	1.59e-25
SASH3	ENSG00000122122.9	0.910	4.890	-1.625	3.19e-25
FMOD	ENSG00000122176.10	0.930	10.105	-2.524	1.15e-39
ODF2L	ENSG00000122417.15	5.050	19.695	-1.774	1.63e-38
PTGFR	ENSG00000122420.9	0.560	2.350	-1.103	1.02e-4
LRRC39	ENSG00000122477.12	1.400	5.940	-1.532	6.52e-15
ZMIZ2	ENSG00000122515.14	25.871	63.619	-1.266	1.48e-28
NXPH1	ENSG00000122584.12	1.830	17.580	-2.715	2.31e-20
RAMP3	ENSG00000122679.8	7.360	22.910	-1.516	1.84e-18
TWIST1	ENSG00000122691.12	21.251	3.985	2.158	1.26e-30
ZWINT	ENSG00000122952.16	12.780	3.455	1.629	4.03e-20
ITPR2	ENSG00000123104.11	4.690	11.429	-1.127	5.32e-11
NCKAP1L	ENSG00000123338.12	0.940	4.555	-1.518	7.70e-24
MMP19	ENSG00000123342.15	0.960	6.340	-1.905	1.68e-35
LRP1	ENSG00000123384.13	13.120	42.035	-1.608	2.47e-19
SARDH	ENSG00000123453.16	0.270	1.600	-1.034	3.27e-21
PLP1	ENSG00000123560.13	0.150	1.445	-1.088	2.91e-5
NRK	ENSG00000123572.16	0.930	9.153	-2.395	1.77e-10
G0S2	ENSG00000123689.5	36.801	130.394	-1.797	4.62e-16
PFKFB2	ENSG00000123836.14	2.190	6.265	-1.187	2.13e-14
SLC12A5	ENSG00000124140.12	49.731	18.285	1.395	7.27e-12
PTGIS	ENSG00000124212.5	0.190	2.435	-1.529	1.62e-42
SNAI1	ENSG00000124216.3	1.270	7.475	-1.900	3.42e-31
STX16	ENSG00000124222.21	17.710	40.836	-1.161	3.58e-28
NEURL2	ENSG00000124257.6	2.170	6.035	-1.150	1.97e-12
HIF3A	ENSG00000124440.15	0.790	10.000	-2.619	8.96e-19
F13A1	ENSG00000124491.15	1.610	22.158	-3.149	1.07e-25
PRICKLE4	ENSG00000124593.14	2.950	11.930	-1.711	1.32e-40
SH3TC1	ENSG00000125089.16	2.360	6.845	-1.223	5.53e-17
MT1G	ENSG00000125144.13	1.920	9.350	-1.826	9.46e-10
SLC25A35	ENSG00000125434.10	2.900	7.970	-1.202	1.42e-22
GGA3	ENSG00000125447.16	8.810	20.830	-1.154	7.16e-32
PPDPF	ENSG00000125534.9	251.026	71.406	1.799	5.49e-24
PAX8	ENSG00000125618.16	1.560	8.695	-1.921	2.69e-26
PSD4	ENSG00000125637.15	11.860	26.945	-1.120	6.50e-19
TNFSF9	ENSG00000125657.4	2.130	0.415	1.145	1.40e-28
SNRPB	ENSG00000125835.17	196.869	85.203	1.199	2.74e-23
ZNF436	ENSG00000125945.14	3.650	10.640	-1.324	3.78e-14
ID1	ENSG00000125968.8	13.650	67.088	-2.217	1.03e-16
ROMO1	ENSG00000125995.15	343.436	146.002	1.228	2.08e-26
STAT5A	ENSG00000126561.16	8.680	39.590	-2.068	7.26e-37
ZNF384	ENSG00000126746.17	15.250	37.650	-1.250	9.32e-23
TIMM17B	ENSG00000126768.12	80.822	39.160	1.027	1.61e-26
L3HYPDH	ENSG00000126790.11	8.130	20.609	-1.243	2.07e-24
OMD	ENSG00000127083.7	0.050	2.125	-1.573	1.51e-33
PTPRB	ENSG00000127329.14	1.200	5.385	-1.537	6.24e-38
LRRC61	ENSG00000127399.14	8.100	43.762	-2.298	3.01e-26
IDUA	ENSG00000127415.12	8.690	23.405	-1.333	2.08e-29
HP1BP3	ENSG00000127483.17	33.121	83.129	-1.302	1.87e-19
KLF2	ENSG00000127528.5	4.440	15.755	-1.623	4.04e-20
PKMYT1	ENSG00000127564.16	14.400	1.550	2.594	2.26e-45
FBXL16	ENSG00000127585.11	5.790	1.440	1.477	1.91e-5
MACF1	ENSG00000127603.23	28.999	65.425	-1.147	3.40e-24
STEAP4	ENSG00000127954.12	1.700	32.844	-3.648	2.60e-48
SGCE	ENSG00000127990.15	26.370	61.052	-1.181	4.57e-9
LRFN1	ENSG00000128011.4	1.980	0.340	1.153	6.05e-29
TUBGCP6	ENSG00000128159.11	12.810	30.950	-1.210	3.49e-33
POM121L9P	ENSG00000128262.8	0.130	2.255	-1.526	9.39e-27
TPST2	ENSG00000128294.15	11.470	27.743	-1.205	7.69e-12
RNF112	ENSG00000128482.15	0.190	1.540	-1.094	1.88e-21
LSM8	ENSG00000128534.7	37.621	15.270	1.247	1.67e-28
VGF	ENSG00000128564.6	1.860	0.160	1.302	1.29e-7
PODXL	ENSG00000128567.16	5.170	11.935	-1.068	6.35e-17
IRF5	ENSG00000128604.18	1.620	5.280	-1.261	4.67e-18
HOXD10	ENSG00000128710.5	1.560	0.060	1.272	2.49e-29
ISLR	ENSG00000129009.12	0.950	11.180	-2.643	1.57e-22
PALLD	ENSG00000129116.17	16.610	40.325	-1.231	3.64e-10
PLD2	ENSG00000129219.13	4.030	12.705	-1.446	9.63e-34
KIF1C	ENSG00000129250.11	11.410	25.745	-1.108	2.63e-20
SIGLEC9	ENSG00000129450.8	0.670	3.945	-1.566	1.82e-16
RIPK3	ENSG00000129465.15	0.410	2.505	-1.314	1.56e-43
RNASE1	ENSG00000129538.13	124.672	279.382	-1.158	4.52e-3
TEP1	ENSG00000129566.12	5.880	13.215	-1.047	5.32e-25
RHBDF2	ENSG00000129667.12	4.250	12.140	-1.324	8.25e-21
RPS4Y1	ENSG00000129824.15	0.240	250.418	-7.664	2.69e-4
STARD8	ENSG00000130052.13	1.000	3.465	-1.159	3.98e-30
LSM7	ENSG00000130332.14	108.759	49.254	1.127	1.05e-22
